id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts,base name,dosage form
source_6-75716,dolo 1 gm tablet,source_6,False,45.58,40.11,micro,10 tablets,strip,paracetamol/acetaminophen 1.0 g,dolo,tablet
source_2-39579,dolo 1000 mg infusion,source_2,True,268.0,219.76,micro,Unknown,bottle,paracetamol/acetaminophen 1000.0 mg,dolo,infusion
source_7-90343,dolo 1000 mg tablet,source_7,False,45.58,35.1,micro,10 tablets,strip,paracetamol 1000.0 mg,dolo,tablet
source_1-65076,dolo 1000 mg tablet 10's,source_1,True,45.5,40.0,micro,10 tablets,strip,paracetamol 1000.0 mg,dolo,tablet
source_1-65077,dolo 120 mg suspension 60 ml,source_1,False,40.0,35.2,micro,60.0 ml,bottle,paracetamol 120.0 mg,dolo,suspension
source_6-75717,dolo 120 mg suspension 60 ml,source_6,False,40.32,34.27,micro,60.0 ml,bottle,paracetamol/acetaminophen 120.0 mg/5 ml,dolo,suspension
source_2-39580,dolo 120 suspension,source_2,True,34.94,28.65,micro,Unknown,bottle,paracetamol/acetaminophen 120.0 mg/5 ml,dolo,suspension
source_3-2151,dolo 156 mg syp 60 ml,source_3,False,51.0,43.35,micro,60.0 ml,bottle,paracetamol/acetaminophen 156.2 mg/5 ml,dolo,syrup
source_7-90345,dolo 15625 mg suspension,source_7,False,56.0,49.6,micro,60.0 ml,bottle,paracetamol 156.2 mg/5 ml,dolo,suspension
source_1-65079,dolo 15625 mg syrup 60 ml,source_1,False,56.0,49.3,micro,60.0 ml,bottle,paracetamol 156.2 mg,dolo,syrup
source_6-75718,dolo 250 mg suspension 60 ml,source_6,False,45.02,39.62,micro,60.0 ml,bottle,paracetamol/acetaminophen 250.0 mg,dolo,suspension
source_3-2152,dolo 250 mg syp 60 ml,source_3,False,45.02,38.27,micro,60.0 ml,bottle,paracetamol/acetaminophen 250.0 mg/5 ml,dolo,syrup
source_7-90346,dolo 250 oral suspension,source_7,False,45.02,34.2,micro,60.0 ml,bottle,paracetamol 250.0 mg/5 ml,dolo,suspension
source_1-65080,dolo 250 suspension 100 ml,source_1,False,75.0,66.0,micro,100.0 ml,bottle,paracetamol 250.0 mg,dolo,suspension
source_1-65081,dolo 250 suspension 60 ml,source_1,False,45.0,39.6,micro,60.0 ml,bottle,paracetamol 250.0 mg,dolo,suspension
source_6-75719,dolo 500 mg strip of 10 tablets,source_6,False,13.58,13.58,micro,10 tablets,strip,paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_6-75720,dolo 500 mg strip of 15 tablets,source_6,False,14.95,13.16,micro,15 tablets,strip,paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_3-2153,dolo 500 mg tab 1 x15,source_3,False,14.95,14.2,micro,15 tablets,strip,paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_2-39583,dolo 500 tablet,source_2,True,14.95,12.26,micro,Unknown,strip,paracetamol 500.0 mg,dolo,tablet
source_1-65082,dolo 500 tablet 10's,source_1,False,10.0,8.8,micro,10 tablets,strip,paracetamol 500.0 mg,dolo,tablet
source_1-65083,dolo500 tablet 15's,source_1,False,14.5,12.8,micro,15 tablets,strip,paracetamol 500.0 mg,dolo,tablet
source_6-75721,dolo 650 mg strip of 10 tablets,source_6,False,22.61,19.9,micro,10 tablets,strip,paracetamol/acetaminophen 650.0 mg,dolo,tablet
source_6-75722,dolo 650 mg strip of 15 tablets,source_6,False,33.76,29.71,micro,15 tablets,strip,paracetamol/acetaminophen 650.0 mg,dolo,tablet
source_2-39584,dolo 650 tablet,source_2,False,33.6,27.55,micro,Unknown,strip,paracetamol 650.0 mg,dolo,tablet
source_1-65084,dolo650 tablet 15's,source_1,False,33.5,29.5,micro,15 tablets,strip,paracetamol 650.0 mg,dolo,tablet
source_6-75723,dolo ampoule of 2 ml injection,source_6,True,9.8,9.8,micro,2 ml,ampoule,paracetamol/acetaminophen 150.0 mg,dolo,injection
source_6-75724,dolo bottle of 5 ml drops,source_6,False,27.0,27.0,micro,5.0 ml,bottle,paracetamol/acetaminophen 100.0 mg,dolo,suspension
source_6-75725,dolo cold 325/10/2 mg suspension 60 ml,source_6,True,54.45,46.28,micro,60.0 ml,bottle,phenylephrine 10.0 mg/chlorpheniramine/chlorphenamine 2.0 mg/paracetamol/acetaminophen 325.0 mg,dolo,suspension
source_6-75726,dolo cold 50 mg capsule sr 10,source_6,True,15.85,13.47,micro,10 capsules,strip,chlorpheniramine/chlorphenamine 50.0 mg/pseudoephedrine 50.0 mg/paracetamol/acetaminophen 50.0 mg,dolo,capsule
source_2-39585,dolo cold 500 mg/30 mg/10 mg tablet,source_2,True,35.0,28.7,micro,Unknown,strip,paracetamol/acetaminophen 500.0 mg/caffeine 30.0 mg/phen,dolo,tablet
source_6-75727,dolo cold adult nasal drops,source_6,True,40.83,35.93,micro,10.0 ml,bottle,xylometazoline,dolo,nasal drop
source_6-75728,dolo cold pead nasal drops,source_6,False,41.0,34.85,micro,10.0 ml,bottle,xylometazoline,dolo,nasal drop
source_6-75729,dolo cold strip of 10 tablets,source_6,True,35.44,31.19,micro,10 tablets,strip,caffeine 30.0 mg/phenylephrine 10.0 mg/chlorpheniramine/chlorphenamine 2.0 mg/paracetamol/acetaminophen 500.0 mg,dolo,tablet
source_6-75730,dolo cold syrup 50 ml,source_6,True,33.6,29.57,micro,1.0 ml,bottle,piroxicam 20.0 mg,dolo,syrup
source_6-75731,dolo cold syrup 60 ml,source_6,True,53.55,47.12,micro,60.0 ml,bottle,chlorpheniramine/paracetamol/pseudoephedrine,dolo,syrup
source_7-90348,dolo drops,source_7,False,30.07,22.5,micro,15.0 ml,bottle,paracetamol 100.0 mg/ml,dolo,suspension
source_6-75733,dolo g tablets,source_6,True,30.91,27.2,integra,10 tablets,strip,dicyclomine/mefenamic acid,dolo,tablet
source_6-75734,dolo infusion 100 ml,source_6,True,75.03,66.03,micro,100.0 ml,bottle,paracetamol/acetaminophen 1.0 g,dolo,infusion
source_1-65085,dolo infusion 100 ml,source_1,True,331.0,291.3,micro,100.0 ml,bottle,paracetamol 1000.0 mg,dolo,infusion
source_1-65086,dolo ivg 1 infusion 100 ml,source_1,True,401.0,352.9,micro,100.0 ml,bottle,paracetamol 1000.0 mg,dolo,infusion
source_6-75735,dolo k 50 mg strip of 10 tablets,source_6,True,7.5,6.6,bosch,10 tablets,strip,diclofenac 50.0 mg,dolo,tablet
source_6-75736,dolo m tablets,source_6,True,38.1,33.53,integra,10 tablets,strip,drotaverine/mefenamic acid,dolo,tablet
source_6-75737,dolo mf bottle of 60 ml suspension,source_6,True,57.51,50.61,micro,60.0 ml,bottle,mefenamic acid 100.0 mg/5 ml/paracetamol/acetaminophen 250.0 mg/5 ml,dolo,suspension
